nombre_normalizado,precio_venta,precio_costo,stock_actual,categoria,activo,visible
mordaza freno disco akt nkd 125,38000,16689,426,MORDAZA FRENO DISCO,true,true
mordaza freno disco discover 125 st,48000,19473,408,MORDAZA FRENO DISCO,true,true
pastilla de freno akt 110 delantero,5000,2433,1979,PASTILLA FRENO DELANTERO,true,true
pastilla de freno akt 125 flex delantero,5000,2572,316,PASTILLA FRENO DELANTERO,true,true
pastilla de freno apache 180 trasero,6000,2572,187,PASTILLA FRENO TRASERO,true,true
pastilla de freno best 125 delantero,5000,2433,301,PASTILLA FRENO DELANTERO,true,true
pastilla de freno cb 125f delantero,5000,2572,394,PASTILLA FRENO DELANTERO,true,true
pastilla de freno cbf 150 delantero,5000,2505,210,PASTILLA FRENO DELANTERO,true,true
pastilla de freno crypton t115 fi delantero,5000,2572,404,PASTILLA FRENO DELANTERO,true,true
pastilla de freno dr 150 delantero,6000,2184,318,PASTILLA FRENO DELANTERO,true,true
pastilla de freno invicta trasero,6000,2572,384,PASTILLA FRENO TRASERO,true,true
pastilla de freno pulsar 135 delantero,5000,2433,2337,PASTILLA FRENO DELANTERO,true,true
pastilla de freno pulsar 200ns trasero,6000,2572,297,PASTILLA FRENO TRASERO,true,true
pastilla de freno triller 150 trasero,6000,2572,395,PASTILLA FRENO TRASERO,true,true
pastilla de freno vivar 115 delantero,5000,2505,256,PASTILLA FRENO DELANTERO,true,true
pastilla de freno xr 150 delantero,5000,2505,239,PASTILLA FRENO DELANTERO,true,true
pastilla de freno xtz 125 delantero,5000,2433,276,PASTILLA FRENO DELANTERO,true,true
pastilla de freno xtz 150 delantero,5000,2433,146,PASTILLA FRENO DELANTERO,true,true
pastilla de freno xtz 250 trasero,7000,2784,82,PASTILLA FRENO TRASERO,true,true
pastilla de freno ybr 125 delantero,5000,2433,300,PASTILLA FRENO DELANTERO,true,true
pitos,6000,3105,132,PITOS,true,true
plato bobina akt nkd 125,30000,15926,169,PLATO BOBINA,true,true
prensa clutch akt 125 nkd / ttr 125-150,32000,17951,41,PRENSA CLUTCH,true,true
prensa clutch cb 110 / neo 110,33000,17155,368,PRENSA CLUTCH,true,true
prensa clutch cb125,36000,17510,260,PRENSA CLUTCH,true,true
prensa clutch cbf 150 / invicta 150 /xr 150,36000,17736,27,PRENSA CLUTCH,true,true
prensa clutch discover 125 st,35000,18000,62,PRENSA CLUTCH,true,true
prensa clutch dr 150,39000,17385,166,PRENSA CLUTCH,true,true
prensa clutch eco deluxe,31000,17558,2,PRENSA CLUTCH,true,true
prensa clutch tvs 100,36000,15302,170,PRENSA CLUTCH,true,true
prensa clutch xtz 125,34000,16444,287,PRENSA CLUTCH,true,true
regulador akt 110,12000,5736,361,REGULADOR,true,true
regulador akt nkd 125,12000,5736,353,REGULADOR,true,true
relay eco deluxe,8500,4016,1491,RELAY,true,true
relay universal,9500,5121,990,RELAY,true,true
relay xtz 125 / ybr 125 / libero 125,14500,7824,1265,RELAY,true,true
switch encendido akt 125 nkd,10500,5400,0,SWITCH ENCENDIDO,true,true
switch encendido ax 4,27000,13910,275,SWITCH ENCENDIDO,true,true
switch encendido boxer ct / platino 100,18500,9873,171,SWITCH ENCENDIDO,true,true
switch encendido cb 110 / neo 110,17000,9043,631,SWITCH ENCENDIDO,true,true
switch encendido cb 125f,22500,10430,195,SWITCH ENCENDIDO,true,true
switch encendido crypton t-115 fi,34000,13910,237,SWITCH ENCENDIDO,true,true
switch encendido discover 125st-150,19000,9873,180,SWITCH ENCENDIDO,true,true
switch encendido dr 150,26000,12864,267,SWITCH ENCENDIDO,true,true
switch encendido eco deluxe,20000,10780,681,SWITCH ENCENDIDO,true,true
switch encendido tvs 100,27000,13910,273,SWITCH ENCENDIDO,true,true
switch encendido vivar 115,35000,18081,81,SWITCH ENCENDIDO,true,true
switch encendido xtz 125 e,18500,9873,79,SWITCH ENCENDIDO,true,true
switch run 2 cables,3000,1483,1654,SWITCH RUN,true,true
switch run 3 cables,3000,1483,711,SWITCH RUN,true,true
tapa gasolina akt nkd 125,23000,12744,254,TAPA GASOLINA,true,true
tapa gasolina eco deluxe,25000,14136,165,TAPA GASOLINA,true,true
trompo stop paquete x10,18000,840,951,TROMPO STOP,true,true
