familia_nombre,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
PASTILLA FRENO DELANTERO,pastilla de freno akt 110 delantero,5000,2433,1979,2,/productos/pastilla-de-freno-akt-110-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno akt 125 flex delantero,5000,2572,316,2,/productos/pastilla-de-freno-akt-125-flex-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno apache 180 trasero,6000,2572,187,2,/productos/pastilla-de-freno-apache-180-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno best 125 delantero,5000,2433,301,2,/productos/pastilla-de-freno-best-125-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno cb 125f delantero,5000,2572,394,2,/productos/pastilla-de-freno-cb-125f-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno cbf 150 delantero,5000,2505,210,2,/productos/pastilla-de-freno-cbf-150-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno crypton t115 fi delantero,5000,2572,404,2,/productos/pastilla-de-freno-crypton-t115-fi-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno dr 150 delantero,6000,2184,318,2,/productos/pastilla-de-freno-dr-150-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno invicta trasero,6000,2572,384,2,/productos/pastilla-de-freno-invicta-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno pulsar 135 delantero,5000,2433,2337,2,/productos/pastilla-de-freno-pulsar-135-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno pulsar 200ns trasero,6000,2572,297,2,/productos/pastilla-de-freno-pulsar-200ns-trasero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno triller 150 trasero,6000,2572,395,2,/productos/pastilla-de-freno-triller-150-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno vivar 115 delantero,5000,2505,256,2,/productos/pastilla-de-freno-vivar-115-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xr 150 delantero,5000,2505,239,2,/productos/pastilla-de-freno-xr-150-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xtz 125 delantero,5000,2433,276,2,/productos/pastilla-de-freno-xtz-125-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xtz 150 delantero,5000,2433,146,2,/productos/pastilla-de-freno-xtz-150-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno xtz 250 trasero,7000,2784,82,2,/productos/pastilla-de-freno-xtz-250-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno ybr 125 delantero,5000,2433,300,2,/productos/pastilla-de-freno-ybr-125-delantero.jpg,true,true
PITOS,estándar,6000,3105,132,2,/productos/pitos.jpg,true,true
PLATO BOBINA,akt nkd 125,30000,15926,169,2,/productos/plato-bobina-akt-nkd-125.jpg,true,true
PRENSA CLUTCH,akt 125 nkd / ttr 125-150,32000,17951,41,2,/productos/prensa-clutch-akt-125-nkd-/-ttr-125-150.jpg,true,true
