familia_id,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
08ecf78d-22ab-48da-aed9-8cc717f51ffe,cb 125f,22500,10430,195,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,crypton t-115 fi,34000,13910,237,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,discover 125st-150,19000,9873,180,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,dr 150,26000,12864,267,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,eco deluxe,20000,10780,681,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,tvs 100,27000,13910,273,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,vivar 115,35000,18081,81,2,,true,true
08ecf78d-22ab-48da-aed9-8cc717f51ffe,xtz 125 e,18500,9873,79,2,,true,true
2481105c-1e9a-4227-94ba-121e2a4a74c4,2 cables,3000,1483,1654,2,/productos/2-cables.png,true,true
2481105c-1e9a-4227-94ba-121e2a4a74c4,3 cables,3000,1483,711,2,/productos/3-cables.png,true,true
aa2e0b48-cb03-4013-aa93-2d947fc84e03,akt nkd 125,23000,12744,254,2,/productos/tapa-gasolina-akt-nkd.jpg,true,true
aa2e0b48-cb03-4013-aa93-2d947fc84e03,eco deluxe,25000,14136,165,2,,true,true
6982014c-209a-4b26-9c80-85c53c3e8e7a,paquete x10,18000,840,951,2,/productos/trompo.png,true,true
